cname abs
segmentation-service-api.discovery.indazn.com 356
total-rekall.metrics.indazn.com 356
partner-integration.ar.indazn.com 356
concurrency.playback.indazn.com 356
www.dazn.com 356
ums-api.ar.indazn.com 356
pkg.fe.indazn.com 356
pubby.indazn.com 356
follow-shortcuts.discovery.indazn.com 356
startup.core.indazn.com 356
user-profile.ar.indazn.com 355
ott-authz-bff-prod.ar.indazn.com 355
subscriptions-service.ar.indazn.com 355
favouritesv2.discovery.indazn.com 355
authentication-prod.ar.indazn.com 355
tiered-pricing-offer-service.ar.indazn.com 355
drm.playback.indazn.com 355
api.playback.indazn.com 355
onboarding.indazn.com 355
cdn.contentful.com 355
rails.discovery.indazn.com 354
event.discovery.indazn.com 354
youth-protect.discovery.indazn.com 353
static.adsafeprotected.com 353
myaccount-bff.ar.indazn.com 353
rail-router.discovery.indazn.com 351
spolo-public-api-global.acc.indazn.com 344
cdn.cookielaw.org 335
content-item.discovery.indazn.com 329
cdn.dazn.com 328
static.dazndn.com 326
images.discovery.indazn.com 323
resource-strings.acc.indazn.com 322
search.discovery.indazn.com 321
youth-protection.dazn-api.com 320
image.discovery.indazn.com 268
time.akamai.com 243
dce-de-livedazn.daznedge.net 200
accounts.google.com 174
dcf-de-livedazn.daznedge.net 139
fundingchoicesmessages.google.com 136
www.google.com 107
safe.dazn.com 101
www.google.it 92
features.fe.indazn.com 89
pagead2.googlesyndication.com 82
imasdk.googleapis.com 75
images.ctfassets.net 74
expansioneggnog.com 68
www.googletagmanager.com 66
images.daznservices.com 30
csi.gstatic.com 21
reconditeprison.com 11
dcj-ac-live.cdn.indazn.com 11
dcf-ak-livedazn.akamaized.net 2
dce-ac-live.cdn.indazn.com 1
